i,j,similarity,url_i,url_j
4,12,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.connectwise.com/blog/phishing-prevention-tips
4,18,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.hpe.com/us/en/what-is/sd-wan.html
4,20,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c
4,23,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.cloudflare.com/learning/access-management/what-is-ztna/
4,40,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
4,41,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
4,51,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.investopedia.com/terms/s/seo.asp
4,55,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
4,75,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.reuters.com/technology/artificial-intelligence/
4,76,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.cnbc.com/artificial-intelligence/
4,77,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.bbc.com/news/topics/c404v061z99t
12,18,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.hpe.com/us/en/what-is/sd-wan.html
12,20,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c
12,23,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.cloudflare.com/learning/access-management/what-is-ztna/
